Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CLIUF,CITY OF LONDON INVST GRP,Pink Current,5.800000,,0,Foreign Ordinary Shares,United Kingdom,
IMIAF,IMI  PLC ORD,Pink Current,18.676000,,0,Foreign Ordinary Shares,United Kingdom,
IMIAY,IMI PLC S/ADR,Pink Current,36.900000,,0,ADRs,United Kingdom,
FDRVF,FIRST DERIVATIVES PLC,Pink Current,36.863079,,0,Foreign Ordinary Shares,United Kingdom,
OCDDY,OCADO GROUP PLC SPNS/ADR,Pink Current,57.060000,0.581700,5223,ADRs,United Kingdom,
OCDGF,OCADO GROUP PLC,Pink Current,28.325000,0.461100,475,Foreign Ordinary Shares,United Kingdom,
TPRKY,TRAVIS PERKINS PLC S/ADR,Pink Current,21.170100,-3.605800,308,ADRs,United Kingdom,England
TVPKF,TRAVIS PERKINS PLC,Pink Current,18.450000,,0,Foreign Ordinary Shares,United Kingdom,England
POFCF,PETROFAC LTD ORD,Pink Current,1.400000,,0,Foreign Ordinary Shares,United Kingdom,
POFCY,PETROFAC LTD UNSP/ADR,Pink Current,0.670000,,0,ADRs,United Kingdom,
WMGPF,WILLIAMS GP WAN GER ORD,Pink Current,7.000000,,0,Foreign Ordinary Shares,United Kingdom,
SPXSF,SPIRAX SARCO ORD NEW,Pink Current,157.000000,,0,Foreign Ordinary Shares,United Kingdom,England
SPXSY,SPIRAX SARCO ENG UNSP/ADR,Pink Current,81.100000,1.916400,2657,ADRs,United Kingdom,England
HGRVF,HARGREAVES SERVICES ORD,Pink Current,2.861500,,0,Foreign Ordinary Shares,United Kingdom,
GEGYF,GENEL ENERGY PLC ORD,Pink Current,2.500000,,15,Foreign Ordinary Shares,United Kingdom,England
GEGYY,GENEL ENERGY PLC UNSP/ADR,Pink Current,2.080000,,0,ADRs,United Kingdom,England
HUMRF,HUMMINGBIRD RES LTD ORD,Pink Current,0.300000,-6.250000,70000,Foreign Ordinary Shares,United Kingdom,England
CCNTF,CONCENTRIC AB ORD,Pink Current,12.580000,,0,Foreign Ordinary Shares,United Kingdom,
HRGLF,HARGREAVES LANSDOWN ORD,Pink Current,22.450000,,254,Foreign Ordinary Shares,United Kingdom,
HRGLY,HARGREAVES LANSDOWN ADR,Pink Current,43.620000,,25,ADRs,United Kingdom,
HWDJF,HOWDEN JOINERY GRP ORD,Pink Current,10.155200,,0,Foreign Ordinary Shares,United Kingdom,England
HWDJY,HOWDEN JOINERY UNSP/ADR,Pink Current,39.500000,,0,ADRs,United Kingdom,England
ABBAF,ABERDEEN ASIAN INCOME FUN,Pink Current,1.920000,,0,Foreign Ordinary Shares,United Kingdom,England
EUSP,EUROSITE POWER INC,Pink Current,0.079000,-1.250000,64462,Common Stock,United Kingdom,
ARGQ,ARGENTUM 47 INC,Pink Current,0.007860,0.769200,845675,Common Stock,United Kingdom,England
HVPQF,HARBOURVEST GLBL PRVT A,Pink Current,27.500000,,0,Foreign Ordinary Shares,United Kingdom,
DIISY,DIRECT LINE UNSP/ADR,Pink Current,17.300000,-0.574700,400,ADRs,United Kingdom,England
WPPGF,WPP PLC ORD NEW,Pink Current,12.780000,,2320,Foreign Ordinary Shares,United Kingdom,
AWLCF,AWILCO DRILLING LTD,Pink Current,0.565000,,0,Foreign Ordinary Shares,United Kingdom,Scotland
IGESF,IGAS ENERGY PLC NEW ORD,Pink Current,0.165100,,0,Foreign Ordinary Shares,United Kingdom,
DEVOY,DEVRO PLC UNSP/ADR,Pink Current,4.490000,,0,ADRs,United Kingdom,Scotland
ELMTY,ELEMENTIS PLC UNSP/ADR,Pink Current,6.730000,,0,ADRs,United Kingdom,England
GRPEF,GRAPHENE NANOCHEM PLC,Pink Current,0.020000,,0,Foreign Ordinary Shares,United Kingdom,England
ROYMF,ROYAL MAIL PLC ORD,Pink Current,7.320000,,30,Foreign Ordinary Shares,United Kingdom,
ROYMY,ROYAL MAIL PLC UNSP/ADR,Pink Current,13.895000,-2.491200,1681,ADRs,United Kingdom,
PXAMF,LOCATION SCIENCES GRP NEW,Pink Current,0.007000,,0,Foreign Ordinary Shares,United Kingdom,England
WISKF,WEISS KOREA OPPTY FD ORD,Pink Current,3.730000,,0,Foreign Ordinary Shares,United Kingdom,England
CFEGF,CHINA NONFERROUS GLD ORD,Pink Current,0.115000,,0,Foreign Ordinary Shares,United Kingdom,
SGSPF,SSGA SPDR ETFS EUR I EXCH,Pink Current,51.319200,,0,ETFs,United Kingdom,
SSDRF,SSGA SPDR ETFS EUROPE I,Pink Current,77.381300,-0.153200,3583,Structured Product,United Kingdom,
SSEEF,SSGA SPDR ETFS EUR I PLC,Pink Current,65.700000,-0.217200,1069,Structured Product,United Kingdom,
SSWRF,SSGA SPDR ETFS1 ETF,Pink Current,27.200000,,0,ETFs,United Kingdom,
FXTGY,FOXTONS GROUP PLC ADR,Pink Current,2.120000,,0,ADRs,United Kingdom,England
DNLMY,DUNELM GROUP PLC U/ADR,Pink Current,15.050000,,0,ADRs,United Kingdom,England
SPPGF,STOCK SPIRITS GROUP ORD,Pink Current,3.975000,,0,Foreign Ordinary Shares,United Kingdom,
BHOOY,BOOHOO GRP PLC UNSP/ADR,Pink Current,95.000000,,12,ADRs,United Kingdom,
ITNRF,LB SHELL PLC,Pink Current,0.003000,,0,Foreign Ordinary Shares,United Kingdom,
HRCXF,HURRICANE ENERGY PLC,Pink Current,0.042000,-12.500000,20546,Foreign Ordinary Shares,United Kingdom,
TGTNF,TUNGSTEN CORP PLC ORD,Pink Current,0.450000,,10,Foreign Ordinary Shares,United Kingdom,
BDGSF,BANK OF GA GROUP PLC ORD,Pink Current,17.000000,,0,Foreign Ordinary Shares,United Kingdom,England
INVVY,INDIVIOR PLC S/ADR,Pink Current,8.716000,4.258400,8226,ADRs,United Kingdom,England
IZQVF,INDIVIOR PLC ORD,Pink Current,1.725000,0.290700,100,Foreign Ordinary Shares,United Kingdom,England
FQVTF,FEVERTREE DRINKS PLC ORD,Pink Current,30.790000,,70,Foreign Ordinary Shares,United Kingdom,
FQVTY,FEVERTREE DRINKS UNSP/ADR,Pink Current,0.000000,,0,ADRs,United Kingdom,
NMHLY,NMC HEALTH PLC UNSP/ADR,Pink Current,0.401000,12.957700,236658,ADRs,United Kingdom,
NHLPF,NAHL GROUP PLC ORD,Pink Current,0.675000,,0,Foreign Ordinary Shares,United Kingdom,
DSITF,DIXONS CARPHONE PLC,Pink Current,1.950000,,0,Foreign Ordinary Shares,United Kingdom,
ATDRY,AUTO TRADER GRP UNSP/ADR,Pink Current,1.935000,0.259100,67030,ADRs,United Kingdom,
AATDF,AA LTD ORD,Pink Current,0.400000,,0,Foreign Ordinary Shares,United Kingdom,
SDLPQ,SEADRILL PARTNERS LLC,Pink Current,0.101100,0.000000,417,Common Stock,United Kingdom,
MBNKF,METRO BANK PLC ORD,Pink Current,1.675000,7.371800,100,Foreign Ordinary Shares,United Kingdom,
BPRMF,BLUE PRISM GROUP PLC ORD,Pink Current,17.350000,-1.699700,8230,Foreign Ordinary Shares,United Kingdom,
